label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,exp005_free_25,exp005_free_26,exp005_free_27,exp005_free_28,exp005_free_29,exp005_free_30,exp005_free_31,exp005_free_32,exp005_free_33,exp005_free_34,exp005_free_35,exp005_free_36,exp005_free_blank1,exp005_free_blank2
,16,643,7,190.075974,2.793,0.83994,,O18-label-1,Indole-3-propionic acid,Indole-3-propionic acid,C11H11NO2,0.016972,0.160555,188.071747,25558.81,33769.7,32720.8,24139.31,33533.85,26740.13,46273.25,53366.36,23912.72,47430.9,24399.68,29467.89,0,0
,578,578,12,193.071732,8.331,0.841548,[M-H]-,C12 PARENT,Methylglucoside,Methylglucoside,C7H14O6,0.092478,0.158063,193.071732,2263411.75,2466744.75,2087695.12,1504330.88,1631727.62,1623372.62,2347144.25,2500552.75,1978119.12,1656860.88,1230906.88,1635486.38,206.33,449.81
,578,645,9,194.077942,8.342,0.844731,,D2-label-1,Methylglucoside,Methylglucoside,C7H14O6,0.080991,0.471732,193.071732,2155.53,3019.62,1505.3,1171.47,1601.23,767.83,2829.27,2373.18,2179.64,1427.78,1114.92,1539.23,0,0
,578,644,10,195.07608,8.329,0.822934,,O18-label-1,Methylglucoside,Methylglucoside,C7H14O6,0.09429,0.391099,193.071732,24671.67,23428.36,22681.05,13339.4,15182.58,12994.21,23265.54,24284.94,21183.57,16303.03,11833.9,14896.49,478.59,0
,618,618,11,198.113541,4.281,0.835695,[M-H]-,C12 PARENT,2-octenoylglycine,2-octenoylglycine,C10H17NO3,0.079893,0.154041,198.113541,1045280.19,1035576.19,366124.12,369153.91,317902.59,343557.09,888334.06,890806.94,255001.95,329008.59,225578.67,278718.41,55732.7,98184.62
,618,647,2,199.119858,4.278,0.847895,,D2-label-1,2-octenoylglycine,2-octenoylglycine,C10H17NO3,0.076561,0.076631,198.113541,43047.27,37244.45,11632.71,7479.22,5380.49,8180.34,16218.6,24744.77,4093.47,7008.19,5412.83,5478.73,0,0
,618,646,4,200.117813,4.281,0.833031,,O18-label-1,2-octenoylglycine,2-octenoylglycine,C10H17NO3,0.080162,0,198.113541,21956.01,20611.49,3732.86,4645.25,5485.57,3288.85,18638.58,16973.41,2259.68,8714.02,0,1064.99,0,0
,609,609,14,199.170334,2.434,0.823454,[M-H]-,C12 PARENT,Laurate,Laurate,C12H24O2,0.166347,0.076612,199.170334,17729074,13670399,13632639,17905418,13197529,13194796,12631191,15241216,8052424.5,10345723,10113289,9164983,1467962.5,1107137.5
,609,610,12,200.176605,2.434,0.829611,,D2-label-1,Laurate,Laurate,C12H24O2,0.16641,0.152453,199.170334,283877.53,234186.14,320434.28,271227.03,351782.34,337641.84,643763.06,772972.31,198653.11,306586.34,372086.16,226641.98,1528,2103.48
,609,648,5,201.182846,2.437,0.845179,,D2-label-2,Laurate,Laurate,C12H24O2,0.163476,0.303381,199.170334,40629.11,12956.95,23256.74,22331.63,7977.37,17621.46,31090.39,44270.47,14741.31,15650.94,11025.89,5025.41,0,0
